exams,probability,instance_seed,solver_seed,solver,slots,time,max_time
10,0.2,0,0,code1,2,0.000040,60
10,0.2,0,0,code2,2,0.000010,60
10,0.2,0,1,code1,2,0.000046,60
10,0.2,0,1,code2,2,0.000011,60
10,0.2,0,2,code1,2,0.000046,60
10,0.2,0,2,code2,2,0.000011,60
10,0.2,0,3,code1,2,0.000055,60
10,0.2,0,3,code2,2,0.000010,60
10,0.2,1,0,code1,3,0.000068,60
10,0.2,1,0,code2,3,0.000040,60
10,0.2,1,1,code1,3,0.000069,60
10,0.2,1,1,code2,3,0.000040,60
10,0.2,1,2,code1,3,0.000049,60
10,0.2,1,2,code2,3,0.000022,60
10,0.2,1,3,code1,3,0.000138,60
10,0.2,1,3,code2,3,0.000102,60
10,0.2,2,0,code1,2,0.000067,60
10,0.2,2,0,code2,2,0.000023,60
10,0.2,2,1,code1,2,0.000075,60
10,0.2,2,1,code2,2,0.000022,60
10,0.2,2,2,code1,2,0.000091,60
10,0.2,2,2,code2,2,0.000026,60
10,0.2,2,3,code1,2,0.000088,60
10,0.2,2,3,code2,2,0.000019,60
10,0.2,3,0,code1,2,0.000070,60
10,0.2,3,0,code2,2,0.000016,60
10,0.2,3,1,code1,2,0.000068,60
10,0.2,3,1,code2,2,0.000019,60
10,0.2,3,2,code1,2,0.000075,60
10,0.2,3,2,code2,2,0.000018,60
10,0.2,3,3,code1,2,0.000067,60
10,0.2,3,3,code2,2,0.000014,60
10,0.4,0,0,code1,3,0.000067,60
10,0.4,0,0,code2,3,0.000022,60
10,0.4,0,1,code1,3,0.000067,60
10,0.4,0,1,code2,3,0.000022,60
10,0.4,0,2,code1,3,0.000085,60
10,0.4,0,2,code2,3,0.000043,60
10,0.4,0,3,code1,3,0.000070,60
10,0.4,0,3,code2,3,0.000023,60
10,0.4,1,0,code1,4,0.000134,60
10,0.4,1,0,code2,4,0.000100,60
10,0.4,1,1,code1,4,0.000138,60
10,0.4,1,1,code2,4,0.000108,60
10,0.4,1,2,code1,4,0.000159,60
10,0.4,1,2,code2,4,0.000106,60
10,0.4,1,3,code1,4,0.000121,60
10,0.4,1,3,code2,4,0.000074,60
10,0.4,2,0,code1,3,0.000052,60
10,0.4,2,0,code2,3,0.000021,60
10,0.4,2,1,code1,3,0.000052,60
10,0.4,2,1,code2,3,0.000018,60
10,0.4,2,2,code1,3,0.000048,60
10,0.4,2,2,code2,3,0.000022,60
10,0.4,2,3,code1,3,0.000065,60
10,0.4,2,3,code2,3,0.000020,60
10,0.4,3,0,code1,3,0.000084,60
10,0.4,3,0,code2,3,0.000038,60
10,0.4,3,1,code1,3,0.000094,60
10,0.4,3,1,code2,3,0.000044,60
10,0.4,3,2,code1,3,0.000085,60
10,0.4,3,2,code2,3,0.000032,60
10,0.4,3,3,code1,3,0.000093,60
10,0.4,3,3,code2,3,0.000029,60
10,0.6,0,0,code1,4,0.000533,60
10,0.6,0,0,code2,4,0.000359,60
10,0.6,0,1,code1,4,0.000386,60
10,0.6,0,1,code2,4,0.000355,60
10,0.6,0,2,code1,4,0.000111,60
10,0.6,0,2,code2,4,0.000089,60
10,0.6,0,3,code1,4,0.000049,60
10,0.6,0,3,code2,4,0.000019,60
10,0.6,1,0,code1,5,0.000231,60
10,0.6,1,0,code2,5,0.000228,60
10,0.6,1,1,code1,5,0.000270,60
10,0.6,1,1,code2,5,0.000267,60
10,0.6,1,2,code1,5,0.000220,60
10,0.6,1,2,code2,5,0.000209,60
10,0.6,1,3,code1,5,0.000120,60
10,0.6,1,3,code2,5,0.000124,60
10,0.6,2,0,code1,4,0.000109,60
10,0.6,2,0,code2,4,0.000060,60
10,0.6,2,1,code1,4,0.000090,60
10,0.6,2,1,code2,4,0.000060,60
10,0.6,2,2,code1,4,0.000057,60
10,0.6,2,2,code2,4,0.000028,60
10,0.6,2,3,code1,4,0.000067,60
10,0.6,2,3,code2,4,0.000034,60
10,0.6,3,0,code1,4,0.000073,60
10,0.6,3,0,code2,4,0.000047,60
10,0.6,3,1,code1,4,0.000077,60
10,0.6,3,1,code2,4,0.000052,60
10,0.6,3,2,code1,4,0.000085,60
10,0.6,3,2,code2,4,0.000059,60
10,0.6,3,3,code1,4,0.000123,60
10,0.6,3,3,code2,4,0.000088,60
10,0.8,0,0,code1,5,0.000542,60
10,0.8,0,0,code2,5,0.000535,60
10,0.8,0,1,code1,5,0.000493,60
10,0.8,0,1,code2,5,0.000483,60
10,0.8,0,2,code1,5,0.000106,60
10,0.8,0,2,code2,5,0.000121,60
10,0.8,0,3,code1,5,0.000087,60
10,0.8,0,3,code2,5,0.000066,60
10,0.8,1,0,code1,6,0.000329,60
10,0.8,1,0,code2,6,0.000278,60
10,0.8,1,1,code1,6,0.000264,60
10,0.8,1,1,code2,6,0.000278,60
10,0.8,1,2,code1,6,0.000528,60
10,0.8,1,2,code2,6,0.000649,60
10,0.8,1,3,code1,6,0.000248,60
10,0.8,1,3,code2,6,0.000259,60
10,0.8,2,0,code1,5,0.000127,60
10,0.8,2,0,code2,5,0.000116,60
10,0.8,2,1,code1,5,0.000153,60
10,0.8,2,1,code2,5,0.000144,60
10,0.8,2,2,code1,5,0.000084,60
10,0.8,2,2,code2,5,0.000062,60
10,0.8,2,3,code1,5,0.000109,60
10,0.8,2,3,code2,5,0.000095,60
10,0.8,3,0,code1,6,0.000255,60
