exams,probability,instance_seed,solver_seed,solver,slots,time,max_time
10,0.2,10,10,code1,3,0.000035,60
10,0.2,10,10,code2,3,0.000015,60
10,0.2,10,11,code1,3,0.000035,60
10,0.2,10,11,code2,3,0.000019,60
10,0.2,10,12,code1,3,0.000037,60
10,0.2,10,12,code2,3,0.000014,60
10,0.2,10,13,code1,3,0.000031,60
10,0.2,10,13,code2,3,0.000011,60
10,0.2,10,14,code1,3,0.000031,60
10,0.2,10,14,code2,3,0.000010,60
10,0.2,10,15,code1,3,0.000031,60
10,0.2,10,15,code2,3,0.000009,60
10,0.2,10,16,code1,3,0.000063,60
10,0.2,10,16,code2,3,0.000041,60
10,0.2,10,17,code1,3,0.000045,60
10,0.2,10,17,code2,3,0.000025,60
10,0.2,11,10,code1,3,0.000037,60
10,0.2,11,10,code2,3,0.000015,60
10,0.2,11,11,code1,3,0.000049,60
10,0.2,11,11,code2,3,0.000029,60
10,0.2,11,12,code1,3,0.000041,60
10,0.2,11,12,code2,3,0.000019,60
10,0.2,11,13,code1,3,0.000032,60
10,0.2,11,13,code2,3,0.000014,60
10,0.2,11,14,code1,3,0.000030,60
10,0.2,11,14,code2,3,0.000011,60
10,0.2,11,15,code1,3,0.000035,60
10,0.2,11,15,code2,3,0.000013,60
10,0.2,11,16,code1,3,0.000031,60
10,0.2,11,16,code2,3,0.000012,60
10,0.2,11,17,code1,3,0.000033,60
10,0.2,11,17,code2,3,0.000012,60
10,0.2,12,10,code1,3,0.000031,60
10,0.2,12,10,code2,3,0.000008,60
10,0.2,12,11,code1,3,0.000031,60
10,0.2,12,11,code2,3,0.000009,60
10,0.2,12,12,code1,3,0.000032,60
10,0.2,12,12,code2,3,0.000009,60
10,0.2,12,13,code1,3,0.000031,60
10,0.2,12,13,code2,3,0.000011,60
10,0.2,12,14,code1,3,0.000034,60
10,0.2,12,14,code2,3,0.000012,60
10,0.2,12,15,code1,3,0.000029,60
10,0.2,12,15,code2,3,0.000008,60
10,0.2,12,16,code1,3,0.000030,60
10,0.2,12,16,code2,3,0.000009,60
10,0.2,12,17,code1,3,0.000030,60
10,0.2,12,17,code2,3,0.000009,60
10,0.2,13,10,code1,2,0.000036,60
10,0.2,13,10,code2,2,0.000009,60
10,0.2,13,11,code1,2,0.000040,60
10,0.2,13,11,code2,2,0.000025,60
10,0.2,13,12,code1,2,0.000031,60
10,0.2,13,12,code2,2,0.000007,60
10,0.2,13,13,code1,2,0.000038,60
10,0.2,13,13,code2,2,0.000014,60
10,0.2,13,14,code1,2,0.000034,60
10,0.2,13,14,code2,2,0.000009,60
10,0.2,13,15,code1,2,0.000041,60
10,0.2,13,15,code2,2,0.000017,60
10,0.2,13,16,code1,2,0.000031,60
10,0.2,13,16,code2,2,0.000007,60
10,0.2,13,17,code1,2,0.000032,60
10,0.2,13,17,code2,2,0.000008,60
10,0.2,14,10,code1,3,0.000033,60
10,0.2,14,10,code2,3,0.000013,60
10,0.2,14,11,code1,3,0.000032,60
10,0.2,14,11,code2,3,0.000012,60
10,0.2,14,12,code1,3,0.000034,60
10,0.2,14,12,code2,3,0.000015,60
10,0.2,14,13,code1,3,0.000036,60
10,0.2,14,13,code2,3,0.000014,60
10,0.2,14,14,code1,3,0.000042,60
10,0.2,14,14,code2,3,0.000019,60
10,0.2,14,15,code1,3,0.000032,60
10,0.2,14,15,code2,3,0.000013,60
10,0.2,14,16,code1,3,0.000042,60
10,0.2,14,16,code2,3,0.000021,60
10,0.2,14,17,code1,3,0.000032,60
10,0.2,14,17,code2,3,0.000010,60
10,0.4,10,10,code1,4,0.000076,60
10,0.4,10,10,code2,4,0.000064,60
10,0.4,10,11,code1,4,0.000038,60
10,0.4,10,11,code2,4,0.000024,60
10,0.4,10,12,code1,4,0.000056,60
10,0.4,10,12,code2,4,0.000040,60
10,0.4,10,13,code1,4,0.000043,60
10,0.4,10,13,code2,4,0.000025,60
10,0.4,10,14,code1,4,0.000027,60
10,0.4,10,14,code2,4,0.000011,60
10,0.4,10,15,code1,4,0.000031,60
10,0.4,10,15,code2,4,0.000016,60
10,0.4,10,16,code1,4,0.000065,60
10,0.4,10,16,code2,4,0.000047,60
10,0.4,10,17,code1,4,0.000047,60
10,0.4,10,17,code2,4,0.000034,60
10,0.4,11,10,code1,3,0.000030,60
10,0.4,11,10,code2,3,0.000009,60
10,0.4,11,11,code1,3,0.000033,60
